signal_date,allow_new,candidate_count,selected_count,top_names
20160104,True,0,0,
20160201,True,0,0,
20160301,True,0,0,
20160401,True,0,0,
20160503,True,0,0,
20160601,True,0,0,
20160701,True,3,3,002695.SZ;002746.SZ;601222.SH
20160801,True,1,1,000001.SZ
20160901,True,9,9,000096.SZ;002088.SZ;002461.SZ;300136.SZ;300249.SZ;600601.SH;601601.SH;603306.SH;603988.SH
20161010,True,34,30,000011.SZ;000513.SZ;000635.SZ;000679.SZ;000731.SZ;002010.SZ;002050.SZ;002092.SZ;002330.SZ;002386.SZ;002422.SZ;002545.SZ;300194.SZ;300221.SZ;300271.SZ;300283.SZ;600127.SH;600179.SH;600226.SH;600248.SH;600361.SH;600410.SH;600521.SH;600566.SH;600620.SH;600643.SH;600660.SH;600681.SH;600810.SH;600844.SH
20161101,True,34,30,000789.SZ;000899.SZ;000915.SZ;002313.SZ;002393.SZ;002476.SZ;002524.SZ;002623.SZ;002715.SZ;002731.SZ;002732.SZ;300158.SZ;300204.SZ;300405.SZ;300406.SZ;300421.SZ;600051.SH;600056.SH;600226.SH;600300.SH;600313.SH;600346.SH;600379.SH;600592.SH;600858.SH;601515.SH;601996.SH;603010.SH;603030.SH;603328.SH
20161201,True,33,30,000027.SZ;000063.SZ;000069.SZ;000338.SZ;000514.SZ;000778.SZ;002132.SZ;002146.SZ;002159.SZ;002397.SZ;002419.SZ;002583.SZ;300121.SZ;300250.SZ;300266.SZ;300304.SZ;300417.SZ;600028.SH;600050.SH;600098.SH;600158.SH;600694.SH;600712.SH;600787.SH;600816.SH;600967.SH;600985.SH;600992.SH;601099.SH;601116.SH
20170103,True,14,14,000725.SZ;000737.SZ;002259.SZ;002277.SZ;300086.SZ;300214.SZ;600038.SH;600249.SH;600309.SH;600616.SH;600698.SH;600703.SH;600761.SH;601678.SH
20170203,True,4,4,000525.SZ;600816.SH;600098.SH;002046.SZ
20170301,True,14,14,601117.SH;000928.SZ;002543.SZ;600456.SH;002136.SZ;002109.SZ;603311.SH;002601.SZ;000545.SZ;601918.SH;000968.SZ;002352.SZ;002571.SZ;600319.SH
20170405,True,27,27,002310.SZ;600967.SH;601633.SH;300197.SZ;600885.SH;000959.SZ;002372.SZ;000811.SZ;600436.SH;002138.SZ;002705.SZ;600622.SH;000725.SZ;600803.SH;300257.SZ;002497.SZ;600586.SH;603288.SH;600582.SH;002060.SZ;600578.SH;002108.SZ;600563.SH;600884.SH;600482.SH;002466.SZ;600110.SH
20170502,True,9,9,000811.SZ;600167.SH;000605.SZ;600874.SH;600160.SH;300075.SZ;002011.SZ;300157.SZ;002282.SZ
20170601,True,8,8,600703.SH;600104.SH;601607.SH;600028.SH;601111.SH;600018.SH;601901.SH;600029.SH
20170703,True,15,15,002372.SZ;600004.SH;600966.SH;600808.SH;601636.SH;601225.SH;601101.SH;000998.SZ;002230.SZ;600867.SH;000016.SZ;002179.SZ;300102.SZ;002254.SZ;300166.SZ
20170801,True,17,17,002507.SZ;601336.SH;002545.SZ;600888.SH;000807.SZ;601600.SH;600352.SH;600141.SH;002080.SZ;600117.SH;002440.SZ;600596.SH;600549.SH;600663.SH;002562.SZ;603188.SH;000100.SZ
20170901,True,33,30,300450.SZ;600282.SH;000822.SZ;600764.SH;600782.SH;600231.SH;000717.SZ;002415.SZ;600740.SH;600742.SH;600596.SH;002068.SZ;600276.SH;300003.SZ;002410.SZ;000983.SZ;600711.SH;300285.SZ;000776.SZ;300042.SZ;601377.SH;601015.SH;600728.SH;601001.SH;002362.SZ;300067.SZ;300409.SZ;600380.SH;000723.SZ;603222.SH
20171009,True,41,30,600966.SH;000725.SZ;000063.SZ;600276.SH;002035.SZ;000786.SZ;002148.SZ;600179.SH;002677.SZ;002583.SZ;600196.SH;000513.SZ;600566.SH;600176.SH;603899.SH;600699.SH;600337.SH;300203.SZ;000800.SZ;600598.SH;300373.SZ;600345.SH;600597.SH;000559.SZ;600460.SH;000938.SZ;002093.SZ;002009.SZ;600285.SH;600006.SH
